year, month, day, episode
1966, 3, 19, 82
1954, 10, 3, 53
1958, 6, 7, 37
1956, 10, 8, 91
1974, 4, 12, 48
1982, 1, 27, 70
1969, 4, 1, 31
1965, 10, 31, 36
1965, 11, 8, 6
1976, 6, 18, 49
1979, 10, 6, 45
1957, 11, 28, 67
1974, 5, 9, 39
1966, 5, 21, 81
1958, 2, 25, 87
1957, 3, 2, 73
1971, 12, 22, 86
1964, 7, 4, 42
1958, 5, 10, 71
1957, 11, 9, 26
1964, 2, 6, 14
1961, 10, 16, 13
1965, 5, 11, 57
1959, 10, 21, 76
1961, 1, 24, 60
1980, 6, 20, 59
1965, 8, 11, 38
1954, 6, 3, 30
1981, 9, 30, 22
1964, 10, 14, 17
1969, 4, 3, 97
1959, 4, 30, 74
1957, 6, 25, 75
1956, 9, 13, 2
1979, 2, 28, 61
1975, 3, 10, 90
1987, 9, 16, 92
1972, 6, 15, 3
1956, 9, 13, 1
1963, 8, 19, 34
1972, 11, 6, 94
1955, 7, 23, 51
1978, 7, 28, 85
1966, 6, 14, 84
1968, 10, 16, 88
1956, 9, 27, 78
1963, 3, 11, 29
1974, 2, 2, 16
1969, 9, 9, 64
1959, 9, 9, 15
1962, 10, 26, 52
1973, 9, 26, 24
1985, 2, 1, 66
1963, 4, 7, 68
1958, 9, 1, 40
1985, 11, 10, 46
1965, 6, 15, 35
1956, 8, 5, 5
1957, 10, 6, 44
1983, 6, 2, 58
1958, 11, 18, 28
1955, 11, 15, 43
1960, 4, 4, 93
1962, 11, 6, 23
1954, 9, 4, 27
1976, 4, 1, 11
1955, 8, 8, 7
1969, 8, 17, 56
1955, 8, 8, 83
1862, 9, 20, 95
1956, 8, 13, 69
1961, 6, 6, 8
1953, 9, 7, 62
1963, 11, 21, 77
1979, 5, 21, 19
1967, 10, 19, 21
1970, 11, 22, 25
1968, 8, 10, 79
1974, 10, 24, 4
1971, 5, 12, 50
1985, 4, 25, 89
1964, 6, 11, 65
1953, 4, 14, 9
1958, 6, 18, 80
1971, 2, 7, 20
1969, 11, 25, 32
1970, 4, 7, 33
1945, 6, 15, 54
1985, 5, 4, 72
1960, 4, 27, 10
1954, 7, 3, 96
1961, 8, 6, 55
1961, 8, 4, 47
1957, 7, 29, 18
1956, 11, 2, 63
1953, 8, 4, 12
1962, 12, 24, 41
1995, 2, 26, 0
